germany_solar_gen_last_week;germany_wind_gen_last_week
1.0;10890.0
1.0;10805.5
2.0;10226.0
1.0;9996.5
1.0;10029.25
1.0;9928.0
1.0;9827.0
1.5;9731.5
1.0;9624.25
1.0;9516.75
2.0;9314.25
1.0;9203.5
1.0;8986.75
1.0;8906.5
1.0;8732.75
1.0;8739.5
0.75;8608.25
1.0;8359.75
1.5;8264.0
1.5;8342.5
1.25;8292.25
1.25;8106.5
1.25;8118.5
1.25;8096.5
1.25;7950.0
1.25;7841.5
1.0;7711.0
1.0;7594.75
1.25;7424.75
1.25;7300.25
1.25;7113.5
1.25;7144.0
1.25;7160.5
1.25;7045.25
1.25;6970.25
1.25;7002.25
1.25;7037.25
1.25;7025.0
1.25;7118.75
1.25;7161.75
1.25;7190.75
1.25;7241.25
1.25;7127.75
1.25;7181.25
1.25;7156.0
1.25;7231.75
1.25;7144.75
1.25;7154.75
1.25;7248.75
1.75;7478.75
1.5;7643.25
8.25;7791.5
52.0;7919.0
137.0;7841.25
260.75;7654.25
407.25;7648.0
557.75;7677.0
730.25;7711.75
924.0;7759.5
1125.25;7790.5
1345.5;7876.25
1517.25;7975.25
1660.75;7941.5
1730.5;8041.25
1782.75;8159.5
1833.0;8262.5
1870.75;8237.25
1907.25;8289.75
1959.5;8455.0
1945.5;8538.0
1872.5;8549.0
1758.5;8682.0
1632.5;8809.0
1481.75;8987.75
1291.25;8996.75
1092.0;8907.0
891.75;8928.5
697.75;9006.5
519.75;8887.0
360.75;8940.75
225.0;9132.25
119.25;9129.0
43.0;9088.5
8.0;9051.25
2.0;8957.75
1.75;9017.75
1.25;9223.25
1.25;9309.0
1.25;9376.75
1.25;9294.25
2.25;9089.75
1.25;9093.25
1.0;9126.25
0.75;9174.75
1.0;8963.0
0.75;8868.25
0.75;8839.5
1.0;8736.75
1.0;8723.5
1.0;8810.25
1.0;8885.75
1.0;8923.5
1.0;8884.25
0.75;8835.0
0.75;8771.0
0.75;8662.75
1.0;8634.75
1.0;8725.75
1.0;8701.5
1.0;8637.25
1.0;8351.75
0.75;8288.0
0.75;8225.75
0.75;8150.5
0.5;7905.75
0.5;7978.0
0.25;8153.5
0.5;8011.0
0.5;8163.0
0.5;8322.75
0.5;8291.75
0.5;8439.0
0.75;8339.75
0.25;8398.5
0.25;8312.5
0.5;8351.5
0.5;7953.75
0.5;7777.5
0.5;7676.5
0.5;7594.0
0.75;7629.0
0.5;7618.75
0.5;7601.25
0.5;7594.5
1.0;7824.5
0.5;7691.0
0.5;7607.5
0.5;7619.5
0.5;7720.25
0.5;7656.0
0.5;7650.25
0.5;7609.0
0.5;7848.0
0.5;7803.5
0.5;7820.0
0.75;7766.75
3.75;7604.0
27.5;7595.25
146.5;7487.25
329.25;7407.75
534.75;7370.75
730.75;7368.5
929.75;7266.75
1128.5;7207.5
1333.75;7136.75
1514.5;7041.25
1675.75;6916.75
1834.0;6814.75
1971.75;6741.75
2079.0;6760.5
2173.75;6800.25
2224.75;6791.25
2222.75;6585.75
2221.5;6404.0
2234.5;6271.25
2194.25;6270.25
2150.0;6300.75
2043.5;6229.5
1883.0;6099.25
1708.25;6064.0
1545.25;6792.25
1359.5;6916.5
1147.75;6757.5
932.25;6861.75
723.25;7176.25
529.5;7335.75
345.75;7305.75
191.0;7225.0
81.0;7091.25
21.0;6967.0
2.5;6866.25
1.0;6752.25
0.75;6661.25
0.75;6637.75
1.0;6623.75
0.75;6625.25
0.5;6540.25
0.5;6480.75
0.5;6465.0
0.5;6424.0
0.5;6375.5
0.5;6381.25
0.5;6344.25
0.5;6303.75
0.5;6320.5
0.75;6323.75
0.5;6327.5
0.5;6390.25
0.75;6561.25
0.75;6480.5
0.5;6381.25
0.5;6280.0
0.75;6120.0
0.5;5971.25
0.5;5861.0
0.5;5805.0
0.75;5788.5
0.5;5775.5
0.5;5781.5
0.5;5707.5
0.5;5611.0
0.5;5496.75
0.5;5337.5
0.5;5230.5
0.5;5268.75
0.5;5311.0
0.5;5262.5
0.5;5225.0
0.75;5447.0
0.5;5621.0
0.5;5647.0
0.5;5668.25
0.5;5758.0
0.5;5884.0
0.5;5987.0
0.5;6066.5
0.5;6236.25
0.5;6315.25
0.5;6393.5
0.75;6553.75
0.5;6550.25
0.5;6611.0
0.5;6737.0
0.5;6903.5
0.5;7112.25
0.5;7248.25
0.5;7288.5
0.75;7343.0
0.5;7452.25
0.5;7519.25
0.5;7651.0
0.75;7882.5
2.5;7966.25
28.0;8026.25
130.5;8140.25
264.0;8132.0
425.0;8201.0
589.25;8155.25
751.0;8056.25
918.0;7953.25
1074.75;7841.5
1241.25;7810.5
1385.25;7626.5
1512.75;7531.75
1648.5;7574.75
1723.5;7623.0
1772.0;7562.0
1828.0;7530.0
1847.25;7583.25
1824.0;7519.75
1802.5;7493.75
1736.75;7501.0
1628.5;7598.5
1487.0;7558.25
1347.0;7520.5
1211.25;7552.25
1048.75;7627.75
893.5;7700.25
719.75;7653.5
556.75;7546.25
415.0;7433.25
288.0;7334.5
177.75;7308.0
93.25;7381.0
37.25;7379.0
9.0;7212.25
1.5;7199.0
1.0;7164.75
0.5;7198.0
1.5;7240.75
1.5;7308.0
0.5;7420.75
0.75;7421.5
0.5;7385.25
0.5;7346.75
0.5;7402.75
0.5;7401.25
0.25;7318.5
0.5;7254.5
0.5;7129.0
0.5;7060.75
0.5;7060.5
0.5;7029.0
0.5;7036.25
0.5;6910.0
0.5;6807.75
0.5;6694.0
0.5;6584.5
0.5;6445.5
0.5;6421.75
0.5;6380.75
0.5;6365.5
0.5;6259.5
0.5;6239.25
0.25;6144.0
0.5;6037.0
0.5;5898.0
0.25;5896.0
0.25;5889.75
0.25;5776.5
0.5;5666.75
0.5;5632.25
0.25;5515.0
0.25;5472.0
0.5;5417.75
0.5;5269.75
0.5;5136.0
0.5;4985.25
0.5;4903.0
0.5;4881.25
0.5;4815.25
0.5;4751.25
0.5;4631.75
0.5;4488.75
0.5;4482.0
0.5;4366.0
0.5;4224.5
0.5;4175.0
0.5;4107.25
0.5;3991.75
0.5;3988.75
0.5;3963.5
0.5;3855.25
0.5;3765.25
0.75;3726.75
0.5;3690.75
0.5;3720.0
0.75;3665.25
1.25;3611.0
6.75;3578.75
55.75;3508.0
166.5;3511.5
326.25;3492.25
504.0;3373.75
689.5;3387.75
914.5;3442.25
1127.75;3392.5
1350.5;3229.5
1583.75;3191.25
1817.25;3114.0
2051.25;3024.5
2240.5;2961.0
2410.0;2906.75
2527.0;2824.0
2603.0;2756.5
2551.75;2749.75
2514.75;2728.0
2436.0;2758.0
2335.75;2765.0
2172.5;2816.5
2023.25;2834.5
1852.75;2874.5
1670.25;2882.5
1480.5;2848.0
1260.25;2899.75
1040.5;2884.75
821.0;2926.25
602.0;2935.75
386.0;2976.0
209.0;3107.5
88.5;3163.0
26.0;3244.25
4.75;3328.75
2.0;3472.5
1.25;3700.75
1.25;3937.75
1.0;4175.75
0.5;4341.0
0.5;4490.75
0.5;4667.25
0.5;4900.75
0.75;5092.5
0.5;5266.5
0.5;5461.0
0.5;5694.0
0.5;5840.5
0.5;6080.25
0.5;6284.0
0.5;6489.25
0.5;6602.75
0.5;6744.0
0.5;6867.75
0.5;7028.5
0.5;7072.75
0.75;7065.5
0.5;7187.0
0.5;7292.5
0.5;7385.5
0.75;7470.75
0.5;7657.25
0.5;7786.0
0.5;7927.5
0.5;8104.5
0.5;8178.75
0.5;8263.25
0.5;8326.75
0.5;8548.75
0.5;8739.5
0.5;8814.75
0.5;8853.0
0.75;8878.25
0.5;8918.5
0.5;8909.5
0.5;8848.0
0.5;8623.75
0.5;8704.0
0.5;8743.75
0.5;8698.0
0.5;8647.0
0.5;8843.0
0.5;9003.25
0.5;9156.0
0.75;9639.5
0.75;9783.5
0.75;10019.75
0.75;10384.0
0.5;10984.5
0.75;11447.0
0.75;11594.75
0.75;11733.75
0.5;11888.0
0.75;11921.5
0.75;11922.0
1.0;11942.75
4.5;11976.0
26.0;12000.5
91.0;12021.25
151.25;12022.25
219.75;11998.25
291.0;12038.75
374.5;12101.0
468.5;12165.0
530.75;12105.25
555.0;12139.0
589.5;12173.0
614.25;12140.5
609.5;12167.25
611.5;12154.75
617.75;12154.75
613.0;12141.25
603.25;12218.5
590.5;12319.25
571.75;12360.5
556.25;12385.0
533.25;12411.0
522.25;12441.25
510.75;12413.0
480.5;12354.25
435.5;12361.0
401.5;12346.0
348.0;12369.5
294.5;12375.5
233.25;12391.5
168.75;12406.25
114.25;12414.75
65.5;12408.5
26.0;12368.0
5.75;12284.5
0.75;12281.5
0.75;12322.75
0.75;12342.75
0.5;12460.75
0.5;12488.25
0.75;12453.75
0.5;12457.25
0.5;12381.0
0.5;12414.5
0.5;12378.75
0.5;12382.5
0.5;12393.5
0.5;12392.5
0.5;12357.75
0.5;12323.5
0.5;12352.25
0.5;12319.25
0.5;12278.25
0.5;12323.75
0.5;12293.5
0.5;12319.75
0.5;12284.75
0.5;11959.0
0.5;11977.25
0.5;12008.25
0.5;11976.25
0.75;11870.5
0.5;11748.25
0.5;11640.5
0.5;11540.0
0.5;10981.0
0.5;10598.75
0.5;10329.25
0.5;10140.0
0.5;10168.25
0.5;10239.75
0.5;10205.25
0.5;10104.0
0.5;9966.0
0.25;9961.75
0.5;10113.25
0.5;10092.75
0.5;9972.25
0.5;9983.0
0.5;10029.75
0.5;9977.5
0.5;10047.25
0.5;10208.75
0.75;10348.25
0.5;10429.75
0.5;10719.25
0.5;10804.5
0.5;10732.5
0.5;10733.75
0.5;10696.25
0.75;10807.25
0.75;10826.75
0.75;10804.5
0.75;10740.75
0.5;10751.0
0.5;10750.0
0.75;10644.0
1.0;10652.0
6.25;10454.5
33.25;10189.75
70.25;9947.75
124.25;9942.0
202.25;9755.0
292.0;9506.0
402.75;9316.5
510.5;9070.0
619.75;8992.75
738.5;8880.5
853.5;8772.5
955.0;8682.75
1037.5;8601.25
1121.75;8437.5
1169.75;8297.75
1234.25;8225.25
1263.5;8052.75
1273.25;7799.0
1253.75;7614.75
1243.0;7428.0
1212.75;7118.5
1119.0;6793.5
1039.0;6556.0
942.25;6311.75
841.0;6080.0
715.0;5832.25
581.25;5633.0
464.25;5390.75
346.25;5175.0
231.25;4895.0
125.5;4681.0
53.75;4506.5
14.0;4315.25
1.75;4154.75
0.75;4023.25
0.5;3896.5
0.75;3848.0
0.5;3804.0
0.5;3728.5
0.5;3591.0
0.5;3477.0
0.5;3388.5
0.5;3354.5
0.5;3351.25
0.5;3341.75
0.5;3320.5
0.5;3304.25
1.0;3311.75
0.5;3248.75
0.5;3199.0
0.5;3223.0
0.5;3263.25
0.5;3269.25
0.5;3338.75
0.5;3425.5
0.5;3535.25
0.5;3563.5
0.5;3619.5
0.5;3685.75
0.5;3744.25
0.5;3763.5
0.5;3817.25
0.5;3896.5
0.5;4038.75
0.5;4158.25
0.5;4266.75
0.5;4380.25
0.5;4468.75
0.5;4560.75
