day;gas_price
2024-04-21;33.24
2024-04-22;32.9
2024-04-23;32.3
2024-04-24;31.54
2024-04-25;31.31
2024-04-26;31.99
2024-04-27;31.62
2024-04-28;30.65
2024-04-29;29.98
2024-04-30;30.61
2024-05-01;30.9
2024-05-02;31.86
2024-05-03;32.22
2024-05-04;32.2
2024-05-05;32.12
2024-05-06;33.36
2024-05-07;33.31
2024-05-08;32.94
2024-05-09;33.28
2024-05-10;32.69
2024-05-11;32.58
2024-05-12;31.8
2024-05-13;31.35
2024-05-14;31.22
2024-05-15;31.52
2024-05-16;31.91
2024-05-17;32.19
2024-05-18;32.87
2024-05-19;34.16
2024-05-20;33.87
2024-05-21;33.88
2024-05-22;36.1
2024-05-23;37.91
2024-05-24;36.95
2024-05-25;36.95
2024-05-26;37.04
2024-05-27;37.2
2024-05-28;36.59
2024-05-29;36.18
2024-05-30;36.24
2024-05-31;37.14
2024-06-01;37.35
2024-06-02;36.75
2024-06-03;39.15
2024-06-04;37.56
2024-06-05;36.25
2024-06-06;35.71
2024-06-07;35.28
2024-06-08;35.1
2024-06-09;36.54
2024-06-10;35.13
2024-06-11;36.29
2024-06-12;36.94
2024-06-13;37.94
2024-06-14;37.62
2024-06-15;38.59
2024-06-16;38.45
2024-06-17;37.15
2024-06-18;36.7
2024-06-19;36.66
2024-06-20;37.08
2024-06-21;36.89
2024-06-22;36.53
2024-06-23;36.54
2024-06-24;36.23
2024-06-25;36.33
2024-06-26;36.72
2024-06-27;36.53
2024-06-28;36.21
2024-06-29;36.26
2024-06-30;36.81
2024-07-01;36.65
2024-07-02;36.2
2024-07-03;35.46
2024-07-04;35.38
2024-07-05;35.23
2024-07-06;35.55
2024-07-07;35.43
2024-07-08;35.1
2024-07-09;34.4
2024-07-10;33.71
2024-07-11;33.64
2024-07-12;33.47
2024-07-13;33.78
2024-07-14;34.27
2024-07-15;34.03
2024-07-16;34.4
2024-07-17;35.01
2024-07-18;34.84
2024-07-19;34.73
2024-07-20;34.5
2024-07-21;34.7
2024-07-22;34.21
2024-07-23;33.98
2024-07-24;34.0
2024-07-25;34.65
2024-07-26;34.54
2024-07-27;34.88
2024-07-28;35.1
2024-07-29;35.28
2024-07-30;36.06
2024-07-31;36.93
2024-08-01;38.68
2024-08-02;38.94
2024-08-03;39.36
2024-08-04;38.96
2024-08-05;37.26
2024-08-06;37.93
2024-08-07;39.77
2024-08-08;40.92
2024-08-09;42.11
2024-08-10;42.07
2024-08-11;43.1
2024-08-12;42.85
2024-08-13;42.2
2024-08-14;41.36
2024-08-15;41.18
2024-08-16;41.2
2024-08-17;41.53
2024-08-18;41.34
2024-08-19;41.69
2024-08-20;41.93
2024-08-21;40.73
2024-08-22;39.56
2024-08-23;38.88
2024-08-24;38.85
2024-08-25;39.46
2024-08-26;39.89
2024-08-27;40.81
2024-08-28;41.07
2024-08-29;41.3
2024-08-30;41.29
2024-08-31;41.99
2024-09-01;42.21
2024-09-02;41.71
2024-09-03;41.02
2024-09-04;39.47
2024-09-05;38.61
2024-09-06;39.6
2024-09-07;39.31
2024-09-08;39.44
2024-09-09;39.13
2024-09-10;38.9
2024-09-11;38.34
2024-09-12;38.13
2024-09-13;38.07
2024-09-14;38.74
2024-09-15;39.0
2024-09-16;37.58
2024-09-17;37.14
2024-09-18;37.78
2024-09-19;38.75
2024-09-20;37.07
2024-09-21;38.03
2024-09-22;39.08
2024-09-23;38.42
2024-09-24;38.58
2024-09-25;39.08
2024-09-26;39.4
2024-09-27;41.32
2024-09-28;42.08
2024-09-29;41.97
2024-09-30;42.3
2024-10-01;41.68
2024-10-02;41.36
2024-10-03;42.11
2024-10-04;43.07
2024-10-05;44.39
2024-10-06;44.63
2024-10-07;42.85
2024-10-08;42.72
2024-10-09;41.86
2024-10-10;41.83
2024-10-11;43.39
2024-10-12;43.05
2024-10-13;43.22
2024-10-14;43.52
2024-10-15;43.04
2024-10-16;42.85
2024-10-17;42.78
2024-10-18;42.29
2024-10-19;42.11
2024-10-20;42.24
2024-10-21;43.05
2024-10-22;43.55
2024-10-23;43.95
2024-10-24;45.22
2024-10-25;45.65
2024-10-26;45.8
2024-10-27;45.9
2024-10-28;45.09
2024-10-29;45.65
2024-10-30;44.84
2024-10-31;42.51
2024-11-01;41.53
2024-11-02;41.12
2024-11-03;41.02
2024-11-04;42.83
2024-11-05;43.21
2024-11-06;42.21
2024-11-07;42.78
2024-11-08;44.67
2024-11-09;45.85
2024-11-10;45.62
2024-11-11;46.85
2024-11-12;47.31
2024-11-13;46.37
2024-11-14;47.83
2024-11-15;48.44
2024-11-16;48.34
2024-11-17;48.09
2024-11-18;48.85
2024-11-19;49.61
2024-11-20;49.02
2024-11-21;51.93
2024-11-22;51.13
2024-11-23;49.3
2024-11-24;48.19
2024-11-25;50.25
2024-11-26;51.09
2024-11-27;50.05
2024-11-28;49.88
2024-11-29;49.71
2024-11-30;50.63
2024-12-01;51.57
2024-12-02;52.04
2024-12-03;51.7
2024-12-04;50.74
2024-12-05;50.33
2024-12-06;50.12
2024-12-07;49.81
2024-12-08;50.24
2024-12-09;48.11
2024-12-10;48.38
2024-12-11;48.37
2024-12-12;47.3
2024-12-13;46.05
2024-12-14;45.43
