"DateTime","Cena [EUR/t]"
"21.05.2024",76.25
"22.05.2024",76.21
"23.05.2024",75.81
"24.05.2024",75.61
"27.05.2024",76.25
"28.05.2024",74.58
"29.05.2024",73.86
"30.05.2024",75.48
"31.05.2024",74.1
"03.06.2024",74.57
"04.06.2024",72.33
"05.06.2024",71.82
"06.06.2024",72.1
"07.06.2024",71.39
"10.06.2024",70.8
"11.06.2024",70.63
"12.06.2024",70.74
"13.06.2024",70.71
"14.06.2024",68.28
"17.06.2024",67.99
"18.06.2024",68.5
"19.06.2024",70.33
"20.06.2024",69.22
"21.06.2024",68.13
"24.06.2024",67.35
"25.06.2024",67.92
"26.06.2024",66.93
"27.06.2024",66.67
"28.06.2024",67.47
"01.07.2024",68.05
"02.07.2024",70.67
"03.07.2024",70.76
"04.07.2024",70.07
"05.07.2024",70.36
"08.07.2024",68.99
"09.07.2024",68.56
"10.07.2024",67.96
"11.07.2024",68.37
"12.07.2024",69.19
"15.07.2024",67.64
"16.07.2024",68.02
"17.07.2024",66.54
"18.07.2024",66.44
"19.07.2024",66.3
"22.07.2024",64.72
"23.07.2024",65.73
"24.07.2024",68.41
"25.07.2024",66.81
"26.07.2024",67.87
"29.07.2024",68.69
"30.07.2024",68.64
"31.07.2024",69.21
"01.08.2024",71.18
"02.08.2024",70.58
"05.08.2024",68.73
"06.08.2024",69.96
"07.08.2024",70.57
"08.08.2024",71.06
"09.08.2024",70.14
"12.08.2024",72.65
"13.08.2024",71.29
"14.08.2024",71.87
"15.08.2024",72.11
"16.08.2024",72.52
"19.08.2024",73.14
"20.08.2024",73.07
"21.08.2024",72.14
"22.08.2024",71.57
"23.08.2024",71.13
"26.08.2024",70.49
"27.08.2024",71.49
"28.08.2024",70.77
"29.08.2024",71.06
"30.08.2024",70.3
"02.09.2024",70.43
"03.09.2024",68.16
"04.09.2024",67
"05.09.2024",66.2
"06.09.2024",66.5
"09.09.2024",66.52
"10.09.2024",64.92
"11.09.2024",66.4
"12.09.2024",65.45
"13.09.2024",64.99
"16.09.2024",63.21
"17.09.2024",64.34
"18.09.2024",63.7
"19.09.2024",62.82
"20.09.2024",63.39
"23.09.2024",64.1
"24.09.2024",63.87
"25.09.2024",65.24
"26.09.2024",66.52
"27.09.2024",66.33
"30.09.2024",65.56
"01.10.2024",63.61
"02.10.2024",62.6
"03.10.2024",62.76
"04.10.2024",62.05
"07.10.2024",61.76
"08.10.2024",60.29
"09.10.2024",62.01
"10.10.2024",65
"11.10.2024",64.62
"14.10.2024",65.97
"15.10.2024",65.09
"16.10.2024",63.03
"17.10.2024",62.98
"18.10.2024",62.28
"21.10.2024",61.76
"22.10.2024",62.25
"23.10.2024",64.89
"24.10.2024",66.63
"25.10.2024",66.97
"28.10.2024",66.4
"29.10.2024",67.28
"30.10.2024",65.47
"31.10.2024",64.58
"01.11.2024",63.87
"04.11.2024",65.22
"05.11.2024",64.3
"06.11.2024",63.76
"07.11.2024",66.04
"08.11.2024",68.02
"11.11.2024",67.57
"12.11.2024",67.53
"13.11.2024",66.31
"14.11.2024",68.27
"15.11.2024",68.01
"18.11.2024",69.51
"19.11.2024",68.13
"20.11.2024",68.38
"21.11.2024",69.99
"22.11.2024",69.27
"25.11.2024",69.86
"26.11.2024",69.23
"27.11.2024",68.47
"28.11.2024",67.63
"29.11.2024",68.4
"02.12.2024",68.83
"03.12.2024",68.49
"04.12.2024",67.86
"05.12.2024",67.34
"06.12.2024",68.31
"09.12.2024",66.37
"10.12.2024",68.18
"11.12.2024",68.63
"12.12.2024",66.1
"13.12.2024",64.43
"16.12.2024",63.32
"17.12.2024",64.26
"18.12.2024",64.86
"19.12.2024",67.69
"20.12.2024",68.2
"23.12.2024",69.68
"24.12.2024",69.47
"26.12.2024",69.47
"27.12.2024",71.56
"30.12.2024",71.98
"31.12.2024",73
"02.01.2025",75.19
"03.01.2025",75.94
"06.01.2025",74.36
"07.01.2025",74.04
"08.01.2025",72.17
"09.01.2025",73.46
"10.01.2025",74.85
"13.01.2025",76.92
"14.01.2025",76.96
"15.01.2025",77.98
